Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121229050,1195530726,1264245810,1326256983,1377094972,1393854749,1353631285,1260335196,1275418994,1450279330,1597765363,1596648045,1730167598,1858659218,1593854749,1459217877,1729050279,1653631285,2088122905,2184551243,2158563998,2142859592,2243516790,2363195887,,
Africa Eastern and Southern,AFE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50443593072,49241897429,51357891008,53911226220,57185218694,65994297218,68762281633,70030821547,66202552344,65108904655,72847808224,69139630141,74093426546,90789547105,1.13402E+11,1.41596E+11,1.70344E+11,2.10697E+11,2.50517E+11,1.93201E+11,2.49623E+11,2.96262E+11,2.84488E+11,2.81794E+11,2.81999E+11,2.22053E+11,2.05797E+11,2.36772E+11,2.57331E+11,2.43106E+11,2.04149E+11
Afghanistan,AFG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,22222233.33,24444455.56,26666680,68888922.22,71111144.44,113333340,120000000,113333340,122222228.9,142222222.2,171111104.4,199999988.9,235555544.4,224444437.8,302222222.2,300000006.7,337777777.8,344444451.1,357777771.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1747338355,1919740885,1955857873,2089781603,2431275318,2671762039,2756938487,2688234199,2943866172,3391189666,4029679248,3991431443,4870337174,7017142971,13493474194,12610554954,15314067936,19391697085,18299640571,25348566137,36663920245,29531934294,24170514247,18891867060,19510975213,20826327038,17830252339,22382598558,20704600765,27917732727,31017867833,30721048583,30511761490,22462115041,21756557757,32294655805,35918871487,39781669243,32587704497,36262455147,50705759777,45585911461,50034143798,60467825372,68089908220,85400144052,1.26085E+11,1.24301E+11,1.7022E+11,1.22885E+11,1.74988E+11,2.30681E+11,2.48719E+11,1.9579E+11,2.03417E+11,1.32199E+11,1.16699E+11,1.43241E+11,1.67762E+11,1.69835E+11,1.2679E+11
Angola,AGO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8187989014,6736804052,8725781182,9676099740,13749769575,24225663184,33245105956,44319695565,64168383680,41310593206,51572818661,67822745138,71632934596,69376269462,65126113465,34572954934,28440561887,35420915617,41388899133,35180143510,21984699059
Albania,ALB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,335069933,319090900.3,327312512.5,333550012.5,348287487.5,418924987.5,312500000,82300000,81519209.68,189399541.5,225407481,302465325.4,371812526.3,230306748.5,291948928.3,540977552.5,700086106.3,836718641.2,910731608,1169853126,1596260273,1853023371,2242664372,3016115601,3259292016,3040048180,3337088824,3769453238,3565049240,3694416159,3732053470,3104896171,3437122661,4110293871,4785182222,4821430667,3440898864
Andorra,AND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71472E+11,1.46534E+11,1.61052E+11,1.51743E+11,1.53016E+11,1.74289E+11,1.99859E+11,2.2235E+11,1.79073E+11,2.27293E+11,3.15349E+11,2.78129E+11,2.87685E+11,3.4817E+11,4.61983E+11,6.24616E+11,7.62862E+11,8.89458E+11,1.18828E+12,8.32456E+11,1.03728E+12,1.3566E+12,1.53515E+12,1.51837E+12,1.4348E+12,1.05416E+12,9.65213E+11,1.10714E+12,1.30785E+12,1.26419E+12,
United Arab Emirates,ARE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50787202178,54362695711,69538461538,93968596324,1.22071E+11,1.52434E+11,1.8669E+11,2.48808E+11,2.01959E+11,2.38328E+11,3.15868E+11,3.75514E+11,3.92245E+11,4.01367E+11,3.61253E+11,3.60626E+11,3.84044E+11,3.92863E+11,3.89372E+11,
Argentina,ARG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,1147183934,1441753550,1424603255,1764705803,1904761830,1818181858,1714285705,2000000041,1769210603,2000000003,2500000047,4000000136,4999999840,3054054017,4695000304,5459999881,4999999950,4508960597,3895791555,5445263190,7663966256,9515669467,6003000152,10376666929,9054444307,8747619117,12029545361,10007559520,14643450361,14561091033,15095901878,16357317317,19385100000,24978532000,28381400000,30928400000,31137200000,27862300000,31223690400,31112418400,27736610298,33084505278,39266996606,46198180131,53550250227,65162321195,79762958392,65133480388,80208867996,97810932629,88655850854,80690471898,75818867911,63671789069,69842486096,72860588696,75676150101,77684320033,63641682915
