Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,MtCO2e,0.08,0.07,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0,FALSE,FALSE,0,0.04,0.07,0.1,0.04,0.07,0.3,0.16,0.11,0.08,0.08,0.06,0.02,0.04,0.13,0.14
Albania,MtCO2e,0.31,0.36,0.28,0.17,0.16,0.25,0.34,0.33,0.24,0.24,0.25,0.27,0.62,0.45,0.39,0.36,0.4,0.27,0.33,0.36,0.32,0.31,0.25,0.32,0.35,0.37,0.39,0.45,0.46
Algeria,MtCO2e,6.59,7.54,7.78,8.23,8.17,8.09,8.31,7.98,8.63,9.09,9.33,9.53,9.89,10.68,11.52,12.5,12.19,13.6,13.57,13.48,13.23,14.61,16.8,18.48,19.2,21.02,21.29,22.4,26.34
Andorra,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Angola,MtCO2e,0.64,0.67,0.6,0.51,0.62,0.66,0.91,0.91,1,1.25,1.05,1.17,1.19,1.25,1.29,0.97,1.92,2.28,2.9,3.43,3.67,4.04,4.5,5.57,5.43,4.86,4.33,3.5,3.24
Antigua and Barbuda,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
Argentina,MtCO2e,17.44,17.12,16.48,18.35,18.01,17.94,17.8,17.89,18.2,19.48,20.57,19.77,18.85,20.27,21.71,22.64,22.65,26.5,25.15,24.72,28.22,28.31,29.77,30.93,29.87,30.17,30.61,28.52,28.1
Armenia,MtCO2e,6.38,4.39,1.88,0.59,0.79,1.16,0.25,0.32,0.34,0.28,0.31,0.34,0.39,0.48,0.65,0.72,0.74,1.07,1.19,1.12,0.97,1.12,1.26,1.24,1.08,1.15,1.24,1.32,1.17
Australia,MtCO2e,8.63,8.68,9.01,9.37,9.16,9.72,10.09,10.17,10.4,10.31,10.57,10.84,11.14,11.3,11.25,11.36,11.56,11.82,11.92,12.53,12.68,13.14,13.4,13.68,14.17,14.44,14.83,14.87,15.1
Austria,MtCO2e,11.89,13.27,12.61,12.38,11.42,12.54,13.94,12.42,12.46,12.96,11.86,13.05,12.38,13.12,12.65,12.3,11.97,10.05,10.39,9.59,9.78,8.51,8.11,8.32,7.34,7.78,7.99,8.2,7.45
