Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,MtCO2e,0.27,0.27,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.18,0.15,0.26,0.24,0.26,0.28,0.28,0.24,0.12,0.14,0.19,0.15,0.22,0.17,0.17,0.2,0.21,0.22
Albania,MtCO2e,0.73,0.54,0.4,0.54,0.61,0.41,0.33,0.32,0.33,0.29,0.38,0.35,0.39,0.36,0.28,0.3,0.27,0.33,0.28,0.14,0.1,0.13,0.1,0.05,0.12,0.08,0.12,0.23,0.14
Algeria,MtCO2e,23.1,24.08,24.06,25.28,24.95,25.87,25.74,27.71,27.77,29.31,29.17,30.2,32.28,32.53,31.75,32.6,34.24,33.96,35.28,36.67,36.44,39.3,43.46,42.96,47.86,49.76,47.86,48.09,48.55
Andorra,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Angola,MtCO2e,0.48,0.44,0.37,0.31,0.38,0.38,0.41,0.63,0.59,0.84,0.94,1.04,1.04,1.22,0.86,0.97,1.07,1.19,1.59,2.46,2.61,2.45,2.93,4.33,6,6.42,6.68,7.24,7.12
Antigua and Barbuda,MtCO2e,0.1,0.1,0.13,0.12,0.11,0.12,0.13,0.14,0.16,0.16,0.17,0.18,0.2,0.22,0.21,0.22,0.24,0.26,0.27,0.75,0.29,0.3,0.42,0.28,0.28,0.28,0.28,0.28,0.3
Argentina,MtCO2e,29.02,32.39,31.22,30.48,30.25,29.22,33.19,32.99,37.95,42.78,42.19,40.1,37.28,41.83,48.67,50.5,53.81,54.34,59.04,57.16,59.38,64.48,67.52,64.94,66.95,69.72,71.12,68.18,64.08
Armenia,MtCO2e,6.1,7.8,4.87,0.81,0.82,1.39,1.54,1.8,1.79,1.46,1.6,1.54,0.92,0.88,0.77,0.95,0.9,1.08,1.04,0.65,0.63,0.94,1.43,1.32,1.15,1.29,1.19,1.25,1.5
Australia,MtCO2e,142.8,145.25,147.68,149.11,151.84,158.06,165.89,170.11,190.32,194.12,196.87,204.24,218.73,209.84,219.47,224.53,229.35,236.45,236.3,246.37,239.95,233.27,230.76,222.64,212.81,219.58,225.68,226.19,221.25
Austria,MtCO2e,19.97,20.81,17.57,17.71,19.23,20.78,21.34,21.84,20.96,20.09,19.71,21.55,22.05,24.03,24.82,25.65,24.64,23.67,23.59,19.91,24.14,24.38,21.87,21.2,19.38,19.39,18.23,19.99,17.7
