Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,MtCO2e,2.92,2.69,1.38,1.31,1.26,1.2,1.14,1.06,1,0.77,0.75,0.79,1.07,1.32,1.1,1.61,1.92,2.35,4.38,5.99,8.65,12.25,10.44,8.49,7.77,7.96,7.35,7.33,7.39
Albania,MtCO2e,5.67,3.81,2.14,1.98,2.09,1.85,1.86,1.43,1.76,2.92,3.08,3.22,3.75,3.82,4.01,3.83,3.79,3.78,3.71,3.77,3.93,4.14,3.48,3.65,4.12,3.82,3.67,4.34,4.3
Algeria,MtCO2e,64.91,63.97,63.16,70.49,68.73,69.89,68.41,69.56,71.09,74.11,74.8,71,76.36,79.81,80,83.33,87.21,93.52,96.41,104.55,104.89,109.95,118.94,122.62,130.45,136.82,134.2,135.95,142.52
Andorra,MtCO2e,0.41,0.41,0.41,0.41,0.41,0.43,0.45,0.47,0.49,0.51,0.52,0.52,0.53,0.53,0.56,0.58,0.55,0.54,0.54,0.52,0.52,0.49,0.49,0.48,0.46,0.47,0.47,0.47,0.46
Angola,MtCO2e,6.22,6.42,6.24,6.8,6.59,10.7,11.3,11.61,11.23,12.57,12.29,12.69,13.38,17.73,18.99,17.69,19.8,22.94,24.4,26.45,27.95,28.89,29.63,32.04,33.66,34.17,34.46,29.89,26.39
Antigua and Barbuda,MtCO2e,0.21,0.22,0.29,0.25,0.25,0.27,0.28,0.29,0.33,0.33,0.33,0.35,0.39,0.41,0.39,0.41,0.44,0.46,0.48,1.39,0.49,0.51,0.71,0.47,0.48,0.49,0.5,0.5,0.53
Argentina,MtCO2e,98.21,103.79,105.07,108.49,110.97,111.36,124.25,124.23,129.98,130.96,129.17,122.41,115.75,126.09,139.16,143.09,151.59,159.65,164.23,153.71,164.02,172.71,174.34,179.34,175.41,181.75,179.95,175.78,173.07
Armenia,MtCO2e,19.84,20.69,10.66,4.92,2.67,3.37,2.4,3.16,3.28,2.93,3.42,3.46,2.91,3.27,3.46,4.13,4.15,4.8,5.27,4.27,4.05,4.67,5.44,5.24,5.24,5.1,4.91,5.17,5.39
Australia,MtCO2e,260.14,261.53,265.44,269.35,275.19,285.65,296.35,303.59,324.18,329.52,335.19,341.42,349.4,348.41,361.71,365.84,371.17,381.4,384.64,391.13,383.8,382.27,382.25,375.98,366.74,372.9,381.03,384.18,383.6
Austria,MtCO2e,56.24,60.41,55.56,55.77,56.18,59.55,63.27,62.46,63.07,61.45,61.82,66.19,67.63,72.71,74,74.44,72.14,69.11,68.6,62.62,68.34,66.61,63.44,64.1,60.35,61.45,61.67,64.12,61.47
Azerbaijan,MtCO2e,57.52,67.03,44.24,53.22,47.34,45.66,40.26,39.29,39.28,38.68,39.89,38.42,37.66,33.8,33.37,35.91,33.39,26.7,28.81,24.52,23.53,28.09,30.1,30.67,31.72,31.35,31.95,31.26,31.31
Bahamas,MtCO2e,1.78,1.88,2.53,2.1,2.04,2.08,1.98,1.77,2.27,2.23,2.14,2.13,2.28,2.25,2.16,2.02,2.02,2.06,2.11,6.02,2.08,2.42,3.64,3.11,2.62,2.37,2.19,2.14,2.26
Bahrain,MtCO2e,10.68,10.29,12.18,12.98,13.28,13.46,14.09,14.35,15.42,15.39,15.84,16.35,17.2,17.91,17.79,20.57,22.36,22.87,24.61,24.48,25.55,25.57,26.1,28.29,29.7,30.07,29.64,29.81,30.19
Bangladesh,MtCO2e,11.43,10.75,11.75,12.49,13.47,16.49,16.67,18.74,18.98,19.68,20.95,24.84,26.55,27.8,29.74,31.96,35.2,37.31,40.88,44.05,49.9,53.73,57.32,59.84,63.05,70.9,72.94,77.92,81.97
Barbados,MtCO2e,0.88,0.88,1.09,0.96,0.99,1.04,1.01,1.08,1.14,1.18,1.11,1.19,1.22,1.23,1.21,1.26,1.31,1.33,1.64,4.5,1.49,1.57,2.13,1.41,1.22,1.21,1.24,1.13,1.16
Belarus,MtCO2e,99.86,96.24,86.86,75.38,64.03,56.96,57.83,58.21,56.3,54.09,52.12,50.91,50.78,51.38,54.47,55.01,57.24,55.73,58.44,55.32,59.5,56.38,57.59,57.55,56.8,52.62,53.01,54.02,57.09
Belgium,MtCO2e,106.49,111.08,109.24,107.03,111.72,111.31,116.44,113.47,116.24,112.4,114,115.38,107.86,112.57,111.19,107.68,105.53,101.5,103.9,96.87,103.89,92.81,92.32,94.07,87.52,92.85,91.89,90.48,91.18
Belize,MtCO2e,0.33,0.43,0.5,0.46,0.45,0.46,0.36,0.46,0.45,0.41,0.45,0.53,0.52,0.51,0.44,0.47,0.51,0.54,0.49,1.46,0.56,0.64,0.69,0.5,0.49,0.66,0.65,0.65,0.68
Benin,MtCO2e,0.26,0.2,0.21,0.21,0.22,0.22,0.91,1.16,1.22,1.34,1.42,1.74,2.02,2.28,2.44,2.68,3.25,3.79,3.84,4.19,4.58,4.42,4.21,4.46,4.97,5.29,6.53,6.66,7.21
Bhutan,MtCO2e,0.13,0.13,0.15,0.12,0.15,0.18,0.22,0.3,0.3,0.3,0.31,0.3,0.33,0.3,0.24,0.34,0.33,0.33,0.33,0.3,0.39,0.46,0.56,0.63,0.67,0.66,0.87,0.97,1.02
Bolivia,MtCO2e,5.43,5.49,6.54,7.53,8.7,7.92,7.7,7.81,8.08,7.43,7.52,7.45,7.78,8.61,8.87,9.46,10.47,11.31,12.21,12.96,14.09,15.4,16.18,17.35,18.79,18.98,20.12,20.76,21.22
Bosnia and Herzegovina,MtCO2e,23.96,21.44,15.91,13.34,3.06,3.28,4.13,8.42,10.64,10.4,13.72,13.5,14.22,14.55,15.19,15.86,17.46,18.41,20.24,20.2,20.48,23.4,21.64,21.51,19.17,19.31,22.02,22.33,22.22
Botswana,MtCO2e,2.81,2.73,3.3,3.25,3.08,3.19,2.92,3.07,3.68,3.86,4.03,3.86,4.03,3.91,3.97,4.28,4.09,4.32,4.39,4.09,3.27,3.88,4.99,5.42,6.99,7.07,6.98,7.73,8.07
Brazil,MtCO2e,187.2,193.4,198.89,205.02,212.63,229.97,249.02,266.24,274.57,284.18,296.62,304.33,302.9,296.25,313.49,316.17,318.54,334.31,353.28,331.8,376.44,394.27,426.76,456.21,480.47,456.21,420.96,430.54,408.78
Brunei,MtCO2e,3.92,3.38,3.59,3.86,4.14,4.5,4.71,5.09,4.31,4.19,4.42,4.31,4.36,5.25,4.92,4.82,7.22,6.84,7.22,7.43,6.86,7.01,7.13,7.02,6.97,5.98,6.41,6.71,7.14
Bulgaria,MtCO2e,71.46,57.37,54.06,54.54,52.11,52.74,53.14,51.83,49.49,43.21,42.14,44.97,42.44,46.65,45.76,46.29,47.45,50.68,48.16,41.99,44.05,48.88,44.14,38.92,41.32,43.58,40.54,42.8,39.89
Burkina Faso,MtCO2e,0.59,0.6,0.61,0.62,0.62,0.63,0.71,0.81,0.86,0.86,1.01,1,1.01,1.09,1.12,1.14,1.39,1.67,1.73,1.71,1.86,1.98,2.46,2.74,2.86,3.3,3.38,3.95,4.15
Burundi,MtCO2e,0.19,0.23,0.2,0.21,0.21,0.22,0.22,0.23,0.23,0.23,0.26,0.21,0.22,0.17,0.16,0.16,0.19,0.19,0.2,0.2,0.32,0.36,0.37,0.37,0.36,0.37,0.42,0.53,0.56
Cambodia,MtCO2e,1.26,1.3,1.35,1.38,1.43,1.47,1.53,1.64,1.88,1.91,1.96,2.15,2.21,2.38,2.38,2.64,2.95,3.57,3.65,4.37,4.62,4.84,5.05,5.17,6.1,8.01,9.29,10.76,10.55
Cameroon,MtCO2e,2.64,2.43,2.27,6.41,7.09,6.89,6.22,6.34,6.46,6.18,6.34,5.93,5.85,5.72,6.13,6.22,6.55,7.67,7.83,8.36,8.61,7.53,6.58,6.83,7.25,7.39,7.54,7.31,7.61
Canada,MtCO2e,413.36,408.21,421.25,417.84,433.11,443.03,457.03,471.94,480,488.09,507.83,499.99,518.33,538.15,529.74,542.38,533.33,563.57,543.22,515.4,528.99,541.66,540.57,550.37,555.89,552.54,544.28,555.51,567.65
Cape Verde,MtCO2e,0.1,0.1,0.11,0.11,0.11,0.12,0.14,0.14,0.16,0.19,0.22,0.24,0.28,0.31,0.34,0.44,0.5,0.46,0.48,0.51,0.54,0.57,0.53,0.51,0.5,0.5,0.55,0.59,0.62
