Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,MtCO2e,2.96,2.74,1.43,1.36,1.3,1.25,1.18,1.1,1.05,0.82,0.77,0.81,1.1,1.35,1.13,1.64,1.94,2.36,4.39,6,8.67,12.26,10.45,8.51,7.81,7.99,7.39,7.38,7.44
Albania,MtCO2e,6.05,4.11,2.24,2.07,2.14,1.95,1.97,1.48,1.8,2.97,3.17,3.22,3.75,4.11,4.29,4.07,4.05,4.22,4.17,4.32,4.58,5.04,4.58,4.79,5.22,5.07,4.93,5.6,5.56
Algeria,MtCO2e,67.89,66.94,66.16,73.47,71.55,73.05,71.41,72.83,74.54,77.54,78.59,74.77,80.41,83.84,84.89,88.99,93.75,100.52,103.99,112.77,113.14,118.14,126.64,129.91,138.81,145.97,143.35,145.1,151.67
Andorra,MtCO2e,0.41,0.41,0.41,0.41,0.41,0.43,0.45,0.47,0.49,0.51,0.52,0.52,0.53,0.53,0.56,0.58,0.55,0.54,0.54,0.52,0.52,0.49,0.49,0.48,0.46,0.47,0.47,0.47,0.46
Angola,MtCO2e,6.33,6.53,6.37,6.9,6.69,10.78,11.41,11.73,11.37,12.65,12.37,12.91,13.62,18.01,19.29,18.21,20.34,23.49,25.08,27.15,28.53,29.46,30.25,32.82,34.63,35.16,35.41,30.84,27.34
Antigua and Barbuda,MtCO2e,0.21,0.22,0.29,0.25,0.25,0.27,0.28,0.29,0.33,0.33,0.33,0.35,0.39,0.41,0.4,0.41,0.44,0.46,0.48,1.39,0.49,0.51,0.71,0.47,0.48,0.49,0.5,0.5,0.53
Argentina,MtCO2e,99.84,105.32,107.35,111.03,113.81,113.81,126.56,127.32,133.17,134.19,131.91,124.87,117.47,128.36,141.85,146.32,155.37,163.63,168.15,157.44,168.14,177.26,178.53,184,179.91,186.09,184.28,180.12,177.41
Armenia,MtCO2e,19.84,20.69,10.89,5.04,2.74,3.51,2.57,3.34,3.47,3.11,3.56,3.6,3.12,3.5,3.76,4.46,4.49,5.2,5.69,4.51,4.34,4.94,5.72,5.5,5.48,5.34,5.07,5.32,5.55
Australia,MtCO2e,263.6,264.71,268.36,272.36,278.67,289.01,299.59,306.77,327.66,333.04,338.81,344.96,352.89,351.99,365.27,369.51,375.06,385.37,388.5,394.95,387.35,385.77,385.77,379.27,369.88,375.97,383.96,387.2,386.62
Austria,MtCO2e,58.27,62.42,57.66,57.8,58.28,61.18,64.9,64.22,64.67,63.05,63.53,67.91,69.37,74.46,75.8,76.24,74.1,71.24,70.73,64.42,69.96,68.27,65.11,65.75,61.99,63.15,63.39,65.83,63.18
Azerbaijan,MtCO2e,57.52,67.03,44.62,53.52,47.58,45.77,40.38,39.47,39.39,38.78,40.01,38.72,38.13,34.34,34.09,36.65,34.17,27.51,29.58,25.14,24.15,28.56,30.76,31.39,32.63,32.17,32.66,31.97,32.02
Bahamas,MtCO2e,1.78,1.88,2.53,2.1,2.04,2.08,1.97,1.77,2.27,2.23,2.14,2.13,2.28,2.25,2.16,2.02,2.02,2.07,2.11,6.02,2.08,2.42,3.64,3.11,2.62,2.37,2.19,2.15,2.25
Bahrain,MtCO2e,10.74,10.35,12.27,13.07,13.37,13.54,14.17,14.42,15.51,15.45,15.88,16.39,17.22,17.96,17.93,20.7,22.5,23.01,24.77,24.73,25.98,26.03,26.57,28.76,30.22,30.6,30.2,30.38,30.75
Bangladesh,MtCO2e,11.52,10.83,11.82,12.57,13.54,16.55,16.82,18.97,19.25,20.11,21.65,25.78,27.43,28.63,30.53,32.71,35.9,37.99,41.58,44.75,50.58,54.42,57.99,60.58,63.8,71.69,73.74,78.71,82.76
Barbados,MtCO2e,0.98,0.98,1.18,0.99,1.03,1.07,1.07,1.17,1.27,1.3,1.24,1.31,1.37,1.38,1.36,1.42,1.47,1.48,1.78,4.62,1.59,1.67,2.21,1.48,1.29,1.29,1.31,1.2,1.25
Belarus,MtCO2e,99.85,96.24,87.78,76.24,64.67,57.53,58.48,59.05,57.23,54.98,52.99,51.74,51.77,52.55,55.77,56.48,58.81,57.35,60.27,57.2,61.47,58.35,59.79,59.93,59.47,54.89,55.2,56.24,59.31
