Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141899441,1224022346,1321229050,1392737430,1458100559,1324022346,1316201117,1346927374,1432402235,1527932961,1816759777,1893854749,2008379888,2146368715,1906145251,1854189944,2136312849,2089385475,2328027933,2361242029,2162351876,2101055845,2203528845,2389678248,,
Africa Eastern and Southern,AFE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48469989743,50505052735,50592930990,57970744645,70093241724,71412315466,74208444818,72313035387,67309017218,73455813695,69948725689,74827913087,94285798274,1.20224E+11,1.45918E+11,1.71188E+11,2.11544E+11,2.57123E+11,2.27171E+11,2.57744E+11,3.05626E+11,3.18586E+11,3.3124E+11,3.27205E+11,2.86989E+11,2.49707E+11,2.70271E+11,2.88944E+11,2.78752E+11,2.27843E+11
Afghanistan,AFG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,37777780,44444446.67,51111111.11,126666717.8,144444451.1,215555548.9,259999993.3,237777784.4,208888900,211111117.8,208888900,295555548.9,288888877.8,255555562.2,320000000,337777777.8,380000006.7,437777795.6,457777788.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2347588638,2616510249,2454034645,2576029367,2922956969,3273576359,3243643083,3251250647,3371376947,3777343527,4469084835,4568319904,5259739100,7277109832,10515116437,15242772832,18560582577,19331327783,21539607702,24150707667,30458535780,34073791327,26280357679,18586043921,15904205814,18056327004,19252645333,21351332516,20191959914,21040513748,24613654440,25156308587,26415428071,22196677237,20465693602,27993277452,31916547063,36451297568,36411827142,32376763053,32335904592,40899605592,44120544981,57659645850,57181346862,69023534032,85355021561,1.20467E+11,1.35481E+11,1.27438E+11,1.52365E+11,1.88576E+11,1.67811E+11,1.80852E+11,1.83121E+11,1.56517E+11,1.49253E+11,1.55884E+11,1.85568E+11,2.03175E+11,1.76186E+11
Angola,AGO,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5739005249,6697298360,7370216539,8831519590,10645428494,15181994766,16320505275,26207276866,43286243193,44777816509,35682259098,43947386911,45919711317,49304202033,50471640781,38499512247,25529394464,28397112166,25887460714,22304897296,17029496415
Albania,ALB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,372867136.2,362610725.8,336224987.5,335624987.5,408575012.5,483800000,487500000,314316659.7,627952433.9,764996711.8,773426393.9,836744255.2,1064681064,795637355.1,933613389.8,1097559739,1508346759,1771126270,2068789181,2591004722,3220863616,3853668208,4364191251,5867635984,6717536051,6004542100,5792188900,6700239257,5860874324,5999382980,6243003413,5070977924,5436220472,6070361041,6856194879,6926961794,5635834414
Andorra,AND,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70422E+11,1.68874E+11,1.70795E+11,1.67859E+11,1.54637E+11,1.71401E+11,1.7966E+11,1.92857E+11,1.94234E+11,2.02626E+11,2.21812E+11,2.22035E+11,2.28554E+11,2.61521E+11,3.38516E+11,4.14789E+11,4.91411E+11,6.42361E+11,8.30934E+11,7.44354E+11,7.78862E+11,8.8577E+11,9.96349E+11,1.05898E+12,1.12164E+12,1.04051E+12,9.60775E+11,1.01527E+12,1.05689E+12,1.09629E+12,
United Arab Emirates,ARE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42053369639,47845064670,57668073519,78428046290,93862491491,1.1293E+11,1.66134E+11,2.19714E+11,1.8714E+11,1.78611E+11,2.15973E+11,2.39749E+11,2.52509E+11,2.77888E+11,2.66276E+11,2.70442E+11,2.90783E+11,2.81536E+11,2.88398E+11,
Argentina,ARG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,2294367227,1441753153,1424602864,1176470539,1428571371,1212121237,1428571475,2000000041,1495789482,2199999959,2374999979,3000000102,4555555490,3135135021,3030000057,4159999873,3319672098,4383512571,4989980080,5800000171,5497685333,6068376037,3762000095,5546666807,7015555449,8417142924,7839772666,5042239481,6546483926,11531201154,18606904906,22049649650,27299960000,26038017000,30148400000,37413700000,38667300000,32762700000,33070146000,27603881800,13065823829,18772898619,27736672324,34392237787,40480743016,52567536062,66316154417,48268743530,67937933972,88839174035,78013690407,81240190817,73691675720,70064879912,75639125937,89910533566,85693671130,67653945495,53194616559
Armenia,ARM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045655213,1244415584,779688141.2,729847643.5,961398392.5,913101627.2,894135832.3,955405625.8,1000634291,919091316.9,957156467,968529888.7,1096735502,1391414379,1605180992,2098701754,2482540157,3570727647,4697073302,3684309463,4157364238,4757906357,5139736512,5471934988,5481836162,4427830447,4464567912,5646878996,6612702099,7458269217,4975942156
American Samoa,ASM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562000000,574000000,570000000,618000000,638000000,625000000,758000000,559000000,541000000,563000000,646000000,651000000,695000000,665000000,639000000,626000000,662000000,623000000,
Antigua and Barbuda,ATG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493925925.9,522962963,544037037,579296296.3,592851851.9,607259259.3,656111111.1,617851851.9,603111111.1,588074074.1,662814814.8,734222222.2,846222222.2,1014407407,1155666667,1180259259,875666666.7,841518518.5,794962963,870111111.1,893407407.4,924222222.2,852148148.1,923185185.2,970767344.5,1132821921,1156389829,655278521.9
Australia,AUS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2611714638,2952178295,2512039422,2974577220,3270243028,3959009968,4124762011,4222197335,4730652929,4882965618,5455258148,5839399709,6220794393,7022421525,11737656595,14315171378,14038825161,16144757972,17265959847,20687265705,23827298050,29570416812,32610614587,27658399626,28996558594,31190457927,32912702854,32314716781,39231664726,50821594333,53061177376,52681108233,53341536568,55746908375,59676236596,73019750520,77631259484,82133354203,81674014787,80794585788,89664636061,83770526994,82018627041,98900407688,1.21992E+11,1.45658E+11,1.61971E+11,1.86384E+11,2.39348E+11,2.11475E+11,2.38851E+11,2.85899E+11,3.35971E+11,3.34975E+11,3.15025E+11,2.90743E+11,2.60223E+11,2.73985E+11,3.0722E+11,3.01651E+11,2.67014E+11
Austria,AUT,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,4222754697,4883423835,6036690874,8127807998,10716325088,11418675832,13387942011,16661465323,18958761490,23982629954,28828883216,25143195956,23075814310,23074387927,22995355203,24397666933,31708292925,39047892904,44657529254,47283383255,59578835774,61623796111,67252988981,60542945700,68853040598,83696833629,85017442163,80519032585,84196220542,84492009376,82683895338,84695659955,88826566911,1.09433E+11,1.32173E+11,1.43497E+11,1.58748E+11,1.87242E+11,2.1009E+11,1.67491E+11,1.87159E+11,2.20536E+11,2.09538E+11,2.17723E+11,2.21515E+11,1.88382E+11,1.9215E+11,2.1181E+11,2.38444E+11,2.32348E+11,2.11274E+11
Azerbaijan,AZE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243666666.7,1193640000,365490127.4,1291038858,1776240846,2101743821,2424528302,1917597087,2023580688,2129925910,3121065624,4769575400,6312201079,7007086947,8132639355,9423610302,11464094450,10235008709,10942312484,15881853869,17621945010,19475589547,19721280122,18473453055,16529046813,17104055310,17705176471,17712470588,15537823529
Burundi,BDI,Imports of goods and services (current US$),NE.IMP.GNFS.CD,26250000,29750000,35000000,33250000,31500002,19928888.89,21494857.14,21192000,24488000,23004571.43,28208000,35832000,37205714.29,40576812.54,53633015.87,79994920.63,74673623.19,94676666.67,123426666.7,177800000,214223333.3,213555555.6,272632222.2,268000000,232495196.7,239045071.7,268172621.5,291223994,280918091.1,255573911.4,314442790,332769070,319246482.3,254942339.4,263464979,272899694.1,136902390.4,140485312.9,173751546,129001348.6,141321270.5,138400674.4,140218224.2,164737396.3,225367196.2,322845670.2,446954632.1,433983778.3,591543765,520184945.4,605576363.4,764650773.7,793324462.8,919359801.6,924140636.1,832256751.1,742622323.7,854981478.3,905280741.8,985813306.4,909590599.9
Belgium,BEL,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,11422513917,12470410328,15284572450,22015693438,29348848384,29954319403,34320538140,39904208216,47131229666,60077552284,67141114637,58814105824,55093659721,52310487574,53192322675,52988261431,66063110890,80749672609,92534612178,1.00783E+11,1.229E+11,1.22855E+11,1.32089E+11,1.18889E+11,1.34214E+11,1.62055E+11,1.61994E+11,1.53905E+11,1.565E+11,1.56462E+11,1.64594E+11,1.60765E+11,1.67805E+11,2.02106E+11,2.43279E+11,2.70849E+11,2.96811E+11,3.48824E+11,4.1325E+11,3.20442E+11,3.56614E+11,4.22279E+11,3.9864E+11,4.09628E+11,4.22301E+11,3.53023E+11,3.72197E+11,4.11968E+11,4.5244E+11,4.32985E+11,4.12917E+11
Benin,BEN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,27392931.59,22470098.07,23547272.22,29521371.22,33034384.35,43212954.82,49061969.22,60547029.3,62251308.85,70874399.43,81609765.59,93259568.23,109969562.5,130886423.4,163593479.1,226162498.4,216705681.7,260873171.5,320872304.7,439164032.2,524469482.1,567561768.1,508205482.7,345886049.7,325135991.3,383239061.8,435776317.7,483576008.7,519825023.3,372643203,520152807.1,602729559.6,567957714.4,748725692.9,576481296.9,790421148,708783071.8,715320152.3,797921959.4,1154049285,941345994,1040788979,1008395974,1228828002,1324063349,1353744166,1527581987,2211437452,2509050410,2412711823,2704110554,2819548392,2990340506,3959347661,4495143319,3648295538,3709467045,4352984751,4923520740,4900485059,3906745097
Burkina Faso,BFA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,52340174.82,55303956.09,59614662.68,61742256.03,47262647.17,48113645.22,50541606.43,62777892.68,70389671.06,79074211.63,73994573.51,96149786.91,123177211.9,154654977.9,183824226.9,283412263.6,263748233.2,344381790.6,409486625.4,511997958.8,602966074.3,558237959.2,554827838.7,473268805.4,419829259.7,481677776.9,589940838.7,665476337.7,709757519.1,618479188.8,758452814.3,731992034.9,655479340.1,661457423.4,474345776.8,633116355.2,714319767.8,651175109.9,789066140.3,911820983.1,780034929.9,721473318.4,813114645.4,1002568435,1341080369,1495427431,1581180935,1786796536,2385163528,2505097554,2887043283,3781344567,4351201613,4968861222,4446645377,3902427844,4103751298,4629394615,5167111748,5014108855,
Bangladesh,BGD,Imports of goods and services (current US$),NE.IMP.GNFS.CD,397875421.7,563656831.8,549204082.3,620050850.4,760610844.8,789516322.8,814737821.8,913639901.2,868581340.5,988170710.7,1124763247,938861337.7,863537083.3,958701323.7,1294857683,1575422623,1784273650,1194951862,2056130688,2459010309,3243617765,2858506732,2877295409,2590824916,2538320000,2860038462,2577133333,2842322581,3255865305,3679750954,4126170021,3785238095,3915198939,4677910053,4681795511,6580597015,7601784841,7625081967,8058876652,8525935940,9060862652,10102557450,9060891520,9761830743,10229675556,13891430894,15626727219,18268578048,22873050576,23726338035,25106319011,35373857177,37272043677,40135237754,44128009984,48280651359,47171578943,50611141233,64245518286,64857648450,60251826038
Bulgaria,BGR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,6088384615,6859642857,6424733333,6118555556,6729388889,7411526316,8802352941,11977307692,10352294118,10589277778,7577727273,4290322581,5479381443,4963768116,4429059041,4351577381,4588656549,4174189904,5276354238,6449155466,5500577403,6269113379,6827243139,9430015005,13630160625,17080644178,22027000577,31626174948,39341595243,26258237719,26837706782,33700520441,34493513798,36290976520,37432412834,31914822603,31796805430,37119719965,41903595655,41807781912,37618964051
Bahrain,BHR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,3540992040,4161702128,3892819149,3471808777,3665159574,3280851064,2588829787,2964627660,2869148936,3385638032,4001596011,4414893617,4596276330,4198138298,4119148936,4122340426,4649734043,4413031915,3950532181,4168882979,5132180851,4794680851,5624202128,6205053191,8170478723,10286968085,11559042553,12626329787,16276329787,11353989362,13097074468,21506648936,25749202128,28331382979,26548936170,22301861702,21088031915,23876329787,27050265957,25207712766,
"Bahamas, The",BHS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,471600000,562000000,686200000,839600000,889700000,939900000,1005300000,1190100000,1375500000,1431700000,1514500000,,1750510000,1771670000,1716350000,1592260000,1589080000,1739670000,1883080000,2086690000,2713700000,2943000000,3015600000,3359600000,3196400000,3028700000,3127000000,3421700000,4193800000,5006500000,5088400000,5045700000,4225400000,4414100000,5125700000,4944670000,4787200000,5330100000,4480000000,4453400000,4996500000,4998900000,4980200000,
Bosnia and Herzegovina,BIH,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085000000,1334000000,2336999934,2672984372,4049326021,4412863889,4157033208,4365003066,4717671800,6961219561,7082920635,8039422649,8107497915,8907162351,11336685141,8584652319,8806994650,10403826143,9611646301,9850602810,10497185592,8723319535,8958396584,10321403135,11556328304,11150852842,9684068725
Belarus,BLR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9450000000,,,,14965000000,7291333333,7441153846,9263346154,9754934783,7490028112,9222761506,8685107914,9832808487,12298586056,17184722222,17848607242,23737156177,30431314073,41721254682,30401933405,36934306814,49102934673,48809523810,46436407658,43907521518,32689583072,29922094893,36435957150,41384766392,42353093030,35420888670
Belize,BLZ,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,113599759.1,123637027.2,107602916.7,104498168.5,125848628.6,109048963.8,112664081.5,147241619.6,182372058,212186146.7,211293000,0,274248250,280961550,304594500,304557200,322397200,364499950,392227550,493526392.7,613013051.7,602427434.7,616695969.6,653017485.1,618982118,698550143.2,750575092.5,790029624.7,953287983.3,751680270.7,807676862.4,939713188.3,971664596.5,1051774547,1085325123,1142213073,1093669497,1073213705,1085444148,1169756280,975501976.7
Bermuda,BMU,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579023000,1498077000,1484189000,1594256000,1626299000,1552149000,1615949000,1703748000,1867590000,1917596000,
Bolivia,BOL,Imports of goods and services (current US$),NE.IMP.GNFS.CD,89483964.67,94909764.77,113858328.2,126128983.8,126629826.9,161279461.3,177188552.2,196632996.6,206228956.2,216161616.2,247727272.7,267340067.3,302068446.8,357671164.4,562818590.7,774712643.7,816491754.1,956771614.2,1131534233,1211274647,1019575856,1345840131,1638789044,1303803480,1592839080,1228323588,1017851568,1043169574,1063833481,1092054033,1164632090,1440847065,1640403025,1627865935,1626751434,1825637773,2017479801,2326903298,2768710913,2260778164,2294564082,2056200185,2191068898,2131085361,2309688004,3064661856,3752334864,4495795420,6329651161,5705628917,6744572876,9199095474,10233217742,11386396498,13848955977,12231374703,10831641433,11927938900,12537987221,12853418148,
