Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203335195.5,206810055.9,262463687.2,291620111.7,267882681.6,296480446.9,305515642.5,296703352,339418994.4,392163687.2,431287150.8,474557541.9,496345810.1,495007262.6,404204469.3,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64715445143,65943983724,66275416818,63329802673,64669196715,71250068969,71448700774,72368078069,66050718885,64895533813,73112778383,66151264666,69307497999,89712731716,1.12776E+11,1.36984E+11,1.55424E+11,1.85E+11,2.11096E+11,1.82187E+11,2.33158E+11,2.68236E+11,2.69097E+11,2.67372E+11,2.68208E+11,2.35426E+11,2.28651E+11,2.60982E+11,2.74128E+11,2.69446E+11,2.33969E+11
Afghanistan,AFG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965543405.1,1025522428,1370816289,1664800141,1966653211,2620448527,2720961614,2723802099,3353890830,4048741173,4231899640,4203629519,4348872122,4404257789,1885883146,1896783163,2457079394,2711965079,2470117699
Africa Western and Central,AFW,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,82950786182,66436849463,47661260877,36257805122,39805190144,33702416013,33898402213,32311450199,31911853463,39696160212,38152944585,38115040925,28745844645,26196966730,34845661138,40002444751,39708844266,35187295722,38516006780,45111020566,41443119284,44485835303,55161119833,73997846967,89390060541,1.0797E+11,1.21657E+11,1.54892E+11,1.21196E+11,1.58469E+11,1.99413E+11,2.11966E+11,2.31683E+11,2.32378E+11,1.71464E+11,1.4473E+11,1.6463E+11,1.95178E+11,2.15487E+11,2.17407E+11
Angola,AGO,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3352592593,5104837838,4647794760,3588874745,4474253771,6584562522,5798058745,8571519056,9461574028,12866467697,22331171894,30438252763,40389189578,53348780923,30974788504,43884484820,62631865168,72885404631,72952284482,67323882302,48723590535,43122816969,51497116673,48580166009,44696767123,27889137236
Albania,ALB,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555895133.8,409007634.6,390726845.7,531170383.8,675037359,852494222.5,1004682285,1349877170,1772139249,2019597818,2251435017,2705665287,3241080117,2940434690,2974273861,3156227514,2823522012,2946366491,2845222696,2478194800,2507688342,2650596138,3223896464,3093393186,2916264076
Andorra,AND,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,87405310835,1.126E+11,1.26442E+11,1.28503E+11,1.93948E+11,2.89939E+11,2.84438E+11,2.28091E+11,1.83986E+11,1.76472E+11,1.62028E+11,1.32677E+11,1.46371E+11,1.46216E+11,1.62541E+11,3.38594E+11,1.67961E+11,1.86313E+11,1.77044E+11,1.81894E+11,2.09015E+11,2.36269E+11,2.58877E+11,2.24443E+11,2.74276E+11,3.59952E+11,3.30288E+11,3.30956E+11,3.72566E+11,4.63681E+11,6.14907E+11,7.38731E+11,8.38207E+11,1.11098E+12,8.23106E+11,1.0162E+12,1.33762E+12,1.46119E+12,1.45728E+12,1.42518E+12,1.01553E+12,9.44573E+11,1.02239E+12,1.2151E+12,1.19196E+12,9.50089E+11
United Arab Emirates,ARE,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,10892636256,13797778958,16908257116,16181545774,22281101764,31680422938,33725960229,29443203487,26283029147,26259874694,24870607464,17703078180,19895668755,19231272133,22837646445,29864342141,24115227458,29993189867,28635794062,27434758921,29943067284,34112775810,35815309180,30287542546,35484547311,50621375085,51321443159,52212933969,61080190606,76393192648,1.00502E+11,1.28612E+11,1.41442E+11,1.83032E+11,1.31959E+11,1.52228E+11,2.03511E+11,2.15199E+11,2.14583E+11,2.12714E+11,1.57199E+11,1.47991E+11,1.6417E+11,1.9858E+11,1.94401E+11,
Argentina,ARG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,13722940987,14202380230,11493637302,12434857435,14811143097,13353421858,15299799238,15831874375,22779001001,31577221374,26293432187,26042050144,27144799970,26774837040,30490501123,31723447657,31736843040,34652778710,43209876321,31406000793,34726667544,41467777149,42030000334,48572726893,32454050323,50917782541,62081175459,70201396124,64722201101,68876935900,67865473300,72371587300,79596589500,79855462400,74264967000,73866930600,67828286700,29862244294,41650893935,47449347397,56891104940,67914347258,78827167842,94990190458,84190456294,1.07003E+11,1.33668E+11,1.33378E+11,1.32519E+11,1.27777E+11,1.37703E+11,1.22959E+11,1.40196E+11,1.19359E+11,1.04278E+11,86073145332
Armenia,ARM,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2955048237,2970437646,2933785792,2713125863,2697399020,2975183151,3084157595,3320768179,3340152296
American Samoa,ASM,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,8936229.63,9119388.148,12640255.93,17170822.96,19683325.56,17116361.85,18617224.07,22746464.44,28260013.7,37634077.78,46541455.56,56751371.11,66924110.37,63911111.11,70159259.26,67314814.81,68007407.41,73829629.63,73288888.89,77614814.81,85166666.67,92137037.04,103525925.9,114788888.9,103122222.2,106244444.4,113655555.6,120055555.6,148518518.5,213614814.8,232896296.3,262011111.1,239044444.4,186137037,165307407.4,171418518.5,185277777.8,202314814.8,219992592.6,257700000,282155555.6,338966666.7,358500000,306518518.5
Australia,AUS,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89711427472,90226826780,87550565254,83816048342,86545140090,97350014850,1.04297E+11,1.09913E+11,1.01464E+11,95975686176,1.02304E+11,89615756145,93262348263,1.12252E+11,1.46687E+11,1.70716E+11,1.9104E+11,2.18847E+11,2.69755E+11,2.50498E+11,2.8827E+11,3.6922E+11,4.06393E+11,3.96063E+11,3.74426E+11,3.19597E+11,2.6939E+11,3.11842E+11,3.46169E+11,3.54483E+11,3.41883E+11
