Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,MtCO2e,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,-0.25,-0.25,-0.25,-0.25,-0.25,0.15,0.15,0.15
Albania,MtCO2e,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-0.84,-0.84,-0.84,-0.84,-0.84,-0.24,-0.24,-0.24
Algeria,MtCO2e,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,-2.41,-2.41,-2.41,-2.41,-2.41,-2.41,-2.41,-2.41,-2.41,-2.41,-0.63,-0.63,-0.63,-0.63,-0.63,0.2,0.2,0.2
Andorra,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Angola,MtCO2e,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.28,10.29,10.3,35.62,35.62,35.62,35.62,35.61,35.61,35.61,35.61,35.61,35.61,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.59
Antigua and Barbuda,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Argentina,MtCO2e,44.32,44.32,44.32,44.32,44.32,44.32,44.32,44.32,44.32,44.33,44.33,94.8,94.81,94.83,94.83,94.82,94.82,94.82,94.83,94.83,94.83,65.58,65.58,65.57,65.57,65.57,29.71,29.71,29.7
Armenia,MtCO2e,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,-0.08,-0.08,-0.08,-0.08,-0.08,0.04,0.04,0.04
Australia,MtCO2e,50.36,50.36,50.36,50.36,50.36,50.39,50.4,50.41,50.41,50.42,50.42,29.39,29.39,29.39,29.38,29.39,29.38,29.38,29.38,29.38,29.37,-29.44,-29.44,-29.44,-29.44,-29.44,2.19,2.19,2.19
Austria,MtCO2e,-13.47,-13.47,-13.47,-13.47,-13.47,-13.47,-13.47,-13.47,-13.47,-13.47,-13.47,-6.16,-6.16,-6.16,-6.17,-6.17,-6.17,-6.17,-6.17,-6.16,-6.16,-7.07,-7.07,-7.07,-7.07,-7.07,-7.12,-7.12,-7.12
Azerbaijan,MtCO2e,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-2.85,-2.85,-2.85,-2.85,-2.85,-1.92,-1.92,-1.92
Bahamas,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bahrain,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,MtCO2e,22.61,22.61,22.61,22.61,22.61,22.65,22.64,22.63,22.52,22.35,22.22,22.66,22.6,22.58,22.46,22.45,22.46,22.49,22.48,22.49,22.51,22.02,22.02,21.97,21.9,21.89,21.75,21.75,21.74
Barbados,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,MtCO2e,-32.96,-32.96,-33,-33,-33,-32.89,-32.86,-32.81,-32.74,-32.56,-32.53,-24.6,-24.64,-24.68,-24.77,-24.8,-24.84,-24.87,-24.99,-25.05,-25.05,-16.41,-16.41,-16.4,-16.42,-16.42,-21.35,-21.45,-21.51
Belgium,MtCO2e,-3.91,-3.91,-3.91,-3.91,-3.91,-3.92,-3.92,-3.92,-3.92,-3.92,-4.01,-3,-3.01,-3.01,-3.01,-3.01,-3.01,-3.01,-3.01,-3.01,-3.01,-2.36,-2.36,-2.36,-2.36,-2.36,0.16,0.16,0.16
Belize,MtCO2e,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.55,6.55,6.54,6.53,3.24,3.24,3.23,3.24,3.24,3.24,3.24,3.25,3.25,3.26,5.48,5.47,5.47,5.47,5.47,5.23,5.23,5.24
