Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33251396.65,34636871.51,37944134.08,46530726.26,62011173.18,73480446.93,74039106.15,74597765.36,75156424.58,75715083.8,76273743.02,76832402.23,77391061.45,77949720.67,78508379.89,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,3428546953,3707046656,4046691822,4411686961,5020025872,5610363597,6063165470,6364026525,8574390368,10593202662,11854606628,11639021865,12042813201,13505798136,17009362903,23284586454,26295624065,24107289989,25935812929,23024756186,17895695458,20697469639,27112630323,29414349833,31252102662,35391085631,36439214548,36721599022,34502885572,34958920633,39317715260,37899622787,39353032379,36075174844,33980898783,36483022664,33487266595,33435344096,44981150075,55538396968,61143986888,62681283831,69878377303,70872950781,74414185966,85474365758,90874362637,90816439433,89127967799,91517090921,87258495339,85913110452,97189251784,98927637642,97645448621,89062854580
Afghanistan,AFG,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763296400.3,764207132.4,917509079.2,1030605840,1142282594,1729986353,1803396550,1635724602,1985651755,2453287221,2497416618,2364495706,2351170625,2273393319,741285622.1,666188800.7,1130631604,1358707388,1180672573
Africa Western and Central,AFW,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,45653551167,40067418968,28981738578,19546483631,23312755384,19317237983,17497326012,18256643273,15178319527,18186368804,17885166693,16886909441,13683063759,13451707457,16732856497,17943610440,18808396849,18235315179,18894939132,17927022626,18876800776,20613314064,23836286743,27357367911,32339622403,37576291369,42899968427,52192085144,45754881717,47593714167,57997539942,62781938115,81294802977,89524391218,76599708817,66547436845,67804872781,81039660817,94028797802,96270137273
Angola,AGO,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202777777.8,259360360.4,334934497.8,407273421.6,198301501.4,263861361.5,346102756.8,559731834.5,712475155.6,1102692323,1446628996,1892429280,2218727582,3064973678,3592289538,3805983583,4659175915,5638537979,6599453741,6940376391,6605777276,6828570644,8036418730,6141467808,3852688561,
Albania,ALB,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155433310.8,103517723.2,120269118.8,145586966,150277415.1,160765418.3,176816983.3,231428661.3,300145513.9,356374117.2,436350422.1,565560739.6,643779218.2,626007047.9,650270116.3,729860608.7,568489853.4,646452419.4,704507394.8,645803922.9,674240892.5,801771620.5,931222751.9,958492396,919313145
Andorra,AND,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,12438027506,14575070085,16862570269,18857756066,24855186598,30796067167,36623941961,36996432349,38984013354,43181415238,44297014251,45050398184,51487782421,54681167104,56777553501,59276157104,49360059772,52158397602,52823141071,55188391916,62425738506,70959634701,77128122785,77756402030,83739034664,97136174745,99278852545,1.01399E+11,1.15808E+11,1.34519E+11,1.60244E+11,1.82119E+11,2.05348E+11,2.51153E+11,2.1728E+11,2.53829E+11,2.94672E+11,3.16451E+11,3.16366E+11,3.25148E+11,2.89935E+11,2.86112E+11,2.89817E+11,3.16474E+11,3.13903E+11,
United Arab Emirates,ARE,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,134046903.8,215780020.7,682499423.6,816026038.4,954739628.4,1625397853,3163443203,3695723236,3753745573,3823208935,3624897848,2809043857,3192590575,3207028058,3386270771,3799509670,3826750204,4113320621,4363116317,3906837374,4452465268,4883138110,6224734405,6531518039,7226412526,9465486726,13754663036,14345813479,15247923758,17018107556,19159972771,21449693669,23278420694,27131654187,23314635807,23036895848,27012117086,28724302246,29376446562,31297735848,31635125936,32078420694,35300307311,36874130184,36727128604,
Argentina,ARG,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,11673529108,11740952533,9174848544,9569142703,11453999979,9963158196,11906599839,12628249874,18040443689,24655222754,20039486086,20015850633,20778999455,19822294945,22635232911,22685371287,22631579614,26439043921,31889838393,23497000594,26208333995,30417777317,30550476433,35337499724,23718638577,37867881956,46265967383,50011204825,43181479379,45873469700,44502096300,47723427100,53382062500,53326264700,48089824700,46877339400,43241974900,19884659445,28690164511,31181294719,36449209846,41576107686,49016520323,59795791836,51890313731,67123175368,84034582760,83081051123,82864793306,77752039861,84344878154,75199976820,82610822686,66133559875,57921158796,53094258911
