Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,1079459785,1253019986,1486691280,1667024562,1733062102,1871063627,1981126194,2125900800,2300307636,2358899782,2386871337,2555071152,2605967808,2638230786,2839173961,2754814814,2664631917,2717272980,2932251757,2967859537,2999040092,3053029591,3050260248,2729380540,2628802065,2719392023,2682140078,2794742549,2803126777,2962905028,3025126021,3085628515,,,
Africa Eastern and Southern,AFE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,3.1117E+11,3.23285E+11,3.24137E+11,3.24905E+11,3.35991E+11,3.35745E+11,3.43212E+11,3.56419E+11,3.71553E+11,3.81012E+11,3.81454E+11,3.80743E+11,3.71169E+11,3.66143E+11,3.73259E+11,3.89853E+11,4.11758E+11,4.25498E+11,4.33059E+11,4.444E+11,4.58371E+11,4.7428E+11,4.93381E+11,5.07939E+11,5.36637E+11,5.71895E+11,6.12006E+11,6.57123E+11,6.90132E+11,7.00455E+11,7.36994E+11,7.69573E+11,7.93637E+11,8.32097E+11,8.6914E+11,8.9544E+11,9.15988E+11,9.44489E+11,9.69691E+11,9.89579E+11,9.60589E+11
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7520789110,8185046098,8300792307,9232947611,9727593846,11072562056,11507158325,13968600294,15974832335,16042941797,18088783793,19101890385,19622329672,19907111419,20357074685,20895927104,21144427347,21971513490,21546413426
Africa Western and Central,AFW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.04563E+11,1.06518E+11,1.10526E+11,1.18608E+11,1.25073E+11,1.30121E+11,1.27844E+11,1.15671E+11,1.17412E+11,1.35633E+11,1.59954E+11,1.77279E+11,1.8289E+11,1.90611E+11,2.10111E+11,2.05647E+11,2.23442E+11,2.34001E+11,2.28856E+11,2.40819E+11,2.45487E+11,2.28425E+11,2.2075E+11,2.06245E+11,2.07274E+11,2.18749E+11,2.21798E+11,2.25011E+11,2.3599E+11,2.41385E+11,2.57263E+11,2.60154E+11,2.67168E+11,2.64099E+11,2.63316E+11,2.68507E+11,2.81E+11,2.91421E+11,3.01784E+11,3.06134E+11,3.16956E+11,3.3421E+11,3.67619E+11,3.88692E+11,4.19173E+11,4.43851E+11,4.67218E+11,4.93367E+11,5.23788E+11,5.56503E+11,5.93796E+11,6.23098E+11,6.56037E+11,6.9553E+11,7.36626E+11,7.57492E+11,7.58381E+11,7.75661E+11,7.9837E+11,8.23908E+11,8.16206E+11
Angola,AGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,29612271581,28309331270,28309331270,29498323588,31268223642,32362611309,33301127601,34660728934,36785047049,36800357523,35530708873,35882945860,33787998746,25684481961,26028490521,29932764107,33986968356,36459274698,38169632669,39002299282,40193672967,41884218272,47607984244,49031391566,54401732107,62577722357,69803999474,79583552535,88469962099,89229664824,93159279072,96393747204,1.04628E+11,1.09812E+11,1.15108E+11,1.16194E+11,1.13196E+11,1.13029E+11,1.10764E+11,1.10073E+11,1.05625E+11
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,4650883987,4918106819,5063121959,5119066331,5054996268,5145007754,5435044353,5392224755,5315653025,5838529838,5279453230,3801093258,3527904469,3865151382,4186069744,4743751909,5175433306,4610276813,5017368299,5664101891,6057759019,6559951484,6857770700,7237008901,7635767997,8058019463,8533449376,9043748116,9722026472,10047720826,10420179016,10685406109,10836874518,10945458608,11139684325,11386846319,11764298042,12211599887,12708770911,12985020484,12555055364
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,859118311.6,899062719.9,972334025.4,1048063942,1106952451,1112954410,1149724054,1182359840,1199657766,1200156310,1226664494,1225039476,1240309117,1262264056,1284791515,1314617089,1357385813,1432681663,1505667140,1578346208,1638029596,1679733887,1695342210,1677855020,1717841363,1765210867,1847288559,2014794627,2079163153,2164389691,2240757202,2422692295,2532836662,2753046642,2977025606,3137719375,3288602532,3339680716,3154021641,2986768713,2927781286,2927545021,2781915942,2683224789,2750425228,2789870188,2893365390,2903378514,2949506390,3008955097,2649202667
Arab World,ARB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,5.38272E+11,6.23204E+11,6.75134E+11,6.71064E+11,7.48713E+11,8.17049E+11,8.43279E+11,7.68799E+11,7.17665E+11,7.28975E+11,7.1288E+11,7.46728E+11,7.43477E+11,7.86319E+11,8.04094E+11,9.06502E+11,9.26506E+11,9.72985E+11,1.00288E+12,1.03573E+12,1.06571E+12,1.11475E+12,1.16219E+12,1.22189E+12,1.2451E+12,1.32859E+12,1.35043E+12,1.35756E+12,1.42176E+12,1.55079E+12,1.63541E+12,1.73624E+12,1.81672E+12,1.92392E+12,1.93752E+12,2.03004E+12,2.10976E+12,2.23738E+12,2.31388E+12,2.37676E+12,2.44947E+12,2.52933E+12,2.55554E+12,2.61219E+12,2.65561E+12,2.53929E+12
United Arab Emirates,ARE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,54570464063,63589246353,77222354831,75994825715,91895658609,1.13836E+11,1.19139E+11,1.11134E+11,1.0586E+11,1.10112E+11,1.06154E+11,90275468967,93328568815,90884379736,1.02098E+11,1.2081E+11,1.21849E+11,1.25925E+11,1.27513E+11,1.36307E+11,1.45423E+11,1.53855E+11,1.66456E+11,1.66942E+11,1.71787E+11,1.90431E+11,1.93095E+11,1.97794E+11,2.15201E+11,2.35788E+11,2.47236E+11,2.71557E+11,2.80204E+11,2.89148E+11,2.73988E+11,2.7838E+11,2.97672E+11,3.11022E+11,3.26739E+11,3.40737E+11,3.58135E+11,3.69097E+11,3.77858E+11,3.82354E+11,3.88769E+11,
Argentina,ARG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.50798E+11,1.58983E+11,1.57628E+11,1.49261E+11,1.64382E+11,1.81756E+11,1.80557E+11,1.8632E+11,1.95305E+11,2.1421E+11,2.20734E+11,2.33224E+11,2.37021E+11,2.43686E+11,2.57171E+11,2.57098E+11,2.51909E+11,2.69377E+11,2.57238E+11,2.83535E+11,2.87842E+11,2.72903E+11,2.70896E+11,2.82677E+11,2.87117E+11,2.72219E+11,2.88969E+11,2.96785E+11,2.93551E+11,2.72541E+11,2.65817E+11,2.90095E+11,3.1312E+11,3.38818E+11,3.58592E+11,3.48389E+11,3.67644E+11,3.97464E+11,4.12767E+11,3.98793E+11,3.95646E+11,3.78203E+11,3.36999E+11,3.6678E+11,3.99899E+11,4.35297E+11,4.70326E+11,5.12691E+11,5.33492E+11,5.01917E+11,5.52738E+11,5.85924E+11,5.7991E+11,5.93859E+11,5.78938E+11,5.94749E+11,5.82377E+11,5.98791E+11,5.8343E+11,5.71248E+11,5.14664E+11
